"arme","temps_kill"
ak-47,95.984375
ak-47,97.4375
m4a1,102.6875
ak-47,106.8125
ak-47,37.96875
m4a1,38.921875
ak-47,40.046875
ak-47,48.265625
awp,50.515625
ak-47,58.296875
ak-47,32.640625
ak-47,37.796875
m4a1,40.1875
m4a1,45.6875
ak-47,50.328125
m4a1,51.484375
ak-47,51.578125
m4a1,54.140625
m4a1,55.4375
m4a1,78.15625
m4a1,78.65625
m4a1,81.390625
m4a1,92.640625
m4a1,20.875
m4a1,88.828125
ak-47,89.671875
m4a1,90.75
ak-47,91.15625
ak-47,93.140625
ak-47,104.703125
m4a1,13.140625
m4a1,21.421875
awp,27.140625
ak-47,35.9375
ak-47,38.125
m4a1,38.84375
awp,47.0
ak-47,48.6875
ak-47,49.71875
awp,51.078125
ak-47,53.421875
awp,75.21875
ak-47,98.953125
ak-47,100.875
m4a1,103.421875
ak-47,106.25
m4a1,108.515625
m4a1,24.40625
m4a1,25.59375
m4a1,63.65625
ak-47,14.71875
ak-47,16.109375
m4a1,95.796875
ak-47,96.296875
ak-47,98.9375
ak-47,108.046875
ak-47,22.859375
ak-47,25.3125
m4a1,30.09375
ak-47,31.1875
ak-47,49.09375
ak-47,74.71875
awp,33.296875
ak-47,35.84375
m4a1,39.28125
ak-47,40.203125
m4a1,52.40625
ak-47,62.765625
m4a1,72.203125
m4a1,94.328125
awp,79.359375
ak-47,90.65625
ak-47,96.328125
awp,97.921875
m4a1,101.046875
ak-47,101.40625
m4a1,66.3125
m4a1,67.28125
ak-47,68.359375
m4a1,72.546875
ak-47,113.984375
mac-10,26.953125
ak-47,36.3125
mp9,40.3125
mac-10,40.390625
mac-10,49.765625
ak-47,52.28125
ak-47,17.125
ak-47,21.140625
ak-47,22.421875
ak-47,49.4375
ak-47,66.234375
m4a1,35.515625
m4a1,38.53125
m4a1,39.328125
ak-47,47.296875
m4a1,90.484375
m4a1,93.546875
ak-47,65.046875
ak-47,66.140625
ak-47,70.140625
ak-47,89.453125
ak-47,94.25
m4a1,95.40625
awp,28.953125
m4a1,65.78125
awp,66.59375
m4a1,66.890625
awp,68.390625
ak-47,25.765625
awp,35.421875
awp,48.65625
m4a1,52.34375
ak-47,60.015625
ak-47,68.921875
ak-47,25.796875
ak-47,33.65625
ak-47,35.09375
ak-47,35.390625
ak-47,35.609375
ak-47,31.828125
m4a1,62.15625
ak-47,62.28125
ak-47,73.515625
ak-47,75.515625
ak-47,75.515625
ak-47,83.75
ak-47,84.59375
m4a1,18.53125
m4a1,19.5
m4a1,28.765625
m4a1,38.234375
m4a1,43.15625
m4a1,19.328125
ak-47,30.890625
mac-10,31.15625
ak-47,56.3125
ak-47,56.515625
ak-47,70.59375
ak-47,19.59375
ak-47,20.71875
ak-47,21.28125
ak-47,24.5625
ak-47,62.390625
ak-47,63.28125
ak-47,50.046875
awp,73.046875
m4a1,86.640625
m4a1,99.9375
m4a1,16.84375
m4a1,18.546875
m4a1,33.015625
ak-47,33.984375
awp,35.8125
ak-47,71.53125
ak-47,73.515625
ak-47,75.15625
ak-47,79.25
awp,96.21875
m4a1,44.453125
awp,88.203125
m4a1,91.578125
ak-47,89.921875
ak-47,90.875
awp,99.671875
ak-47,63.125
ak-47,64.125
ak-47,64.53125
ak-47,67.5625
ak-47,21.125
ak-47,22.328125
ak-47,74.203125
m4a1,81.734375
m4a1,83.84375
ak-47,84.8125
ak-47,86.5
ak-47,97.625
m4a1,77.65625
ak-47,95.84375
ak-47,96.328125
m4a1,51.03125
awp,56.234375
ak-47,56.859375
m4a1,93.84375
awp,96.625
m4a1,101.71875
m4a1,59.3125
m4a1,59.703125
m4a1,61.390625
ak-47,61.625
m4a1,13.734375
m4a1,14.140625
m4a1,26.203125
m4a1,48.1875
m4a1,51.5625
m4a1,27.96875
m4a1,39.296875
m4a1,102.625
m4a1,107.578125
ak-47,63.9375
m4a1,67.0625
m4a1,73.515625
ak-47,86.921875
awp,90.640625
ak-47,107.734375
awp,113.34375
ak-47,18.765625
m4a1,34.03125
ak-47,35.015625
m4a1,35.53125
m4a1,36.90625
ak-47,39.015625
ak-47,72.4375
m4a1,88.109375
ak-47,27.9375
awp,29.796875
ak-47,58.34375
m4a1,60.96875
m4a1,63.515625
awp,76.296875
ak-47,24.515625
ak-47,25.109375
awp,28.609375
m4a1,67.484375
ak-47,75.0
m4a1,30.734375
awp,51.921875
ak-47,58.46875
awp,64.828125
awp,67.25
awp,71.5
ak-47,50.890625
m4a1,54.765625
awp,58.1875
m4a1,97.90625
m4a1,99.828125
awp,21.1875
ak-47,22.90625
mp9,26.28125
ak-47,28.0
m4a1,39.65625
m4a1,42.078125
ak-47,42.890625
mp9,92.3125
m4a1,39.125
m4a1,41.453125
ak-47,41.59375
awp,45.203125
ak-47,51.109375
ak-47,76.421875
ak-47,77.765625
awp,79.796875
awp,84.1875
awp,19.5
m4a1,22.796875
m4a1,23.359375
ak-47,26.640625
m4a1,29.28125
m4a1,36.28125
mp9,78.484375
mp9,81.90625
mp9,43.390625
mp9,43.8125
ak-47,49.71875
ak-47,53.015625
ak-47,97.921875
ak-47,106.46875
ak-47,29.46875
ak-47,31.671875
ak-47,34.125
ak-47,34.375
ak-47,60.515625
ak-47,29.6875
ak-47,40.234375
mp9,41.59375
ak-47,42.65625
ak-47,58.03125
ak-47,60.578125
mp9,25.09375
m4a1,27.796875
mp9,28.046875
m4a1,29.9375
ak-47,43.3125
ak-47,66.328125
ak-47,80.078125
mp9,80.34375
ak-47,70.515625
ak-47,75.203125
ak-47,77.421875
m4a1,78.453125
m4a1,79.359375
ak-47,95.421875
ak-47,17.359375
ak-47,36.5625
ak-47,41.359375
ak-47,42.25
ak-47,24.828125
ak-47,68.515625
ak-47,54.546875
ak-47,57.140625
ak-47,93.078125
ak-47,15.375
awp,27.03125
m4a1,28.84375
ak-47,79.109375
ak-47,82.40625
awp,14.96875
awp,51.421875
ak-47,62.578125
awp,68.375
awp,99.703125
ak-47,12.6875
ak-47,23.328125
ak-47,30.015625
awp,66.09375
ak-47,36.234375
ak-47,37.578125
ak-47,38.71875
ak-47,40.3125
ak-47,58.625
ak-47,72.859375
ak-47,75.4375
awp,75.65625
ak-47,99.90625
ak-47,101.6875
ak-47,102.953125
m4a1,45.046875
mp9,75.3125
mp9,26.484375
m4a1,71.453125
ak-47,78.046875
m4a1,88.0625
ak-47,39.15625
ak-47,42.84375
ak-47,44.8125
ak-47,52.796875
ak-47,57.625
awp,8.234375
ak-47,64.234375
ak-47,70.640625
ak-47,71.234375
awp,76.59375
ak-47,98.984375
awp,52.046875
m4a1,76.703125
ak-47,11.75
ak-47,17.265625
awp,19.203125
ak-47,40.5
awp,14.765625
mp9,15.84375
ak-47,15.984375
m4a1,16.515625
ak-47,17.21875
awp,91.234375
ak-47,63.71875
awp,93.4375
awp,96.140625
awp,18.015625
m4a1,78.734375
awp,106.578125
ak-47,18.515625
ak-47,77.65625
ak-47,84.453125
ak-47,91.078125
m4a1,99.09375
m4a1,100.03125
awp,100.640625
awp,102.5625
awp,107.90625
mp9,50.765625
mp9,52.390625
ak-47,53.09375
m4a1,22.390625
m4a1,26.46875
m4a1,27.984375
m4a1,57.28125
m4a1,91.359375
m4a1,15.234375
m4a1,17.3125
m4a1,19.234375
m4a1,21.328125
m4a1,43.0
ak-47,48.140625
ak-47,48.921875
m4a1,53.53125
mp9,59.578125
ak-47,62.296875
ak-47,79.21875
ak-47,108.71875
ak-47,114.21875
m4a1,15.8125
ak-47,15.90625
awp,62.75
m4a1,83.4375
ak-47,34.71875
m4a1,52.046875
awp,45.40625
ak-47,49.71875
m4a1,50.015625
awp,59.65625
ak-47,63.765625
ak-47,63.796875
ak-47,81.453125
ak-47,88.3125
m4a1,19.84375
awp,19.9375
m4a1,21.671875
awp,50.890625
awp,63.625
ak-47,11.734375
awp,14.484375
ak-47,21.328125
ak-47,25.359375
ak-47,25.953125
ak-47,41.453125
awp,57.984375
ak-47,61.21875
m4a1,83.578125
ak-47,97.578125
m4a1,102.5
m4a1,111.328125
ak-47,36.203125
ak-47,59.8125
m4a1,61.6875
ak-47,84.046875
m4a1,103.96875
m4a1,107.9375
mp9,59.34375
mp9,62.671875
mac-10,69.9375
mac-10,18.390625
mp9,21.53125
mac-10,21.703125
mp9,32.078125
ak-47,41.734375
ak-47,46.953125
ak-47,21.90625
ak-47,25.75
ak-47,31.234375
m4a1,38.625
ak-47,41.3125
mac-10,30.34375
mac-10,38.296875
mac-10,44.4375
m4a1,13.734375
ak-47,79.1875
m4a1,79.8125
ak-47,105.09375
ak-47,110.609375
ak-47,26.15625
m4a1,28.234375
m4a1,33.71875
ak-47,34.546875
ak-47,44.328125
ak-47,80.625
ak-47,19.953125
ak-47,21.390625
m4a1,28.09375
m4a1,58.5
ak-47,60.046875
ak-47,62.5
m4a1,22.359375
ak-47,22.9375
ak-47,23.59375
m4a1,54.453125
ak-47,79.6875
m4a1,79.90625
ak-47,80.71875
ak-47,87.046875
ak-47,33.90625
m4a1,63.546875
m4a1,63.84375
ak-47,64.75
ak-47,78.71875
ak-47,86.28125
ak-47,13.0
m4a1,14.140625
ak-47,15.3125
m4a1,16.375
ak-47,40.78125
ak-47,62.59375
ak-47,66.953125
mp9,59.5
ak-47,60.484375
ak-47,76.703125
ak-47,91.078125
ak-47,97.796875
ak-47,114.3125
ak-47,25.828125
ak-47,29.640625
m4a1,30.921875
ak-47,62.546875
ak-47,64.265625
ak-47,26.21875
ak-47,35.375
ak-47,73.703125
ak-47,74.46875
m4a1,86.453125
mac-10,13.703125
mp9,34.453125
ak-47,35.03125
mp9,62.0
awp,63.796875
ak-47,64.46875
m4a1,65.796875
awp,69.15625
m4a1,69.984375
mac-10,12.375
mac-10,31.890625
m4a1,44.984375
m4a1,14.640625
m4a1,83.34375
m4a1,26.1875
awp,28.390625
m4a1,35.59375
ak-47,55.40625
m4a1,63.625
mp9,42.453125
mac-10,42.921875
ak-47,15.15625
m4a1,54.75
m4a1,58.15625
ak-47,66.34375
m4a1,72.953125
ak-47,91.78125
ak-47,23.34375
ak-47,28.921875
m4a1,78.921875
m4a1,84.1875
ak-47,85.828125
ak-47,44.609375
ak-47,80.265625
ak-47,80.53125
ak-47,83.0625
m4a1,95.9375
m4a1,96.34375
ak-47,100.875
m4a1,32.390625
ak-47,82.4375
ak-47,85.53125
awp,94.546875
ak-47,105.515625
ak-47,99.109375
ak-47,100.765625
ak-47,111.328125
awp,18.015625
ak-47,58.71875
m4a1,69.4375
m4a1,106.796875
ak-47,108.375
m4a1,108.453125
awp,45.875
ak-47,49.734375
ak-47,95.46875
ak-47,47.71875
mp9,57.828125
mp9,58.25
ak-47,58.328125
mp9,66.21875
m4a1,67.015625
m4a1,74.328125
mp9,62.09375
m4a1,63.90625
m4a1,67.375
m4a1,74.359375
m4a1,74.9375
mac-10,38.46875
ak-47,39.609375
m4a1,66.765625
ak-47,69.5625
ak-47,71.765625
awp,27.265625
ak-47,34.375
ak-47,35.59375
m4a1,36.125
ak-47,20.921875
ak-47,22.171875
ak-47,22.421875
awp,44.375
awp,60.65625
awp,91.859375
ak-47,100.1875
ak-47,105.875
awp,108.09375
ak-47,108.171875
m4a1,14.703125
m4a1,54.578125
ak-47,54.984375
m4a1,56.515625
ak-47,56.921875
awp,89.640625
ak-47,91.765625
awp,95.375
ak-47,18.375
m4a1,18.796875
m4a1,44.8125
m4a1,48.90625
ak-47,62.875
ak-47,81.90625
m4a1,84.5625
awp,33.25
ak-47,36.5625
ak-47,37.65625
m4a1,65.8125
ak-47,81.0625
m4a1,82.234375
m4a1,86.265625
m4a1,68.34375
m4a1,70.0625
m4a1,72.40625
mp9,73.203125
ak-47,69.140625
ak-47,73.578125
ak-47,74.453125
m4a1,85.234375
m4a1,88.78125
m4a1,90.109375
awp,37.359375
ak-47,73.859375
m4a1,78.125
m4a1,79.0
awp,33.4375
awp,77.546875
awp,79.796875
awp,82.1875
m4a1,85.109375
ak-47,87.46875
ak-47,97.328125
ak-47,16.5625
ak-47,26.796875
ak-47,27.453125
ak-47,33.21875
m4a1,79.65625
m4a1,24.03125
awp,24.90625
awp,26.609375
ak-47,39.859375
awp,63.0625
awp,81.3125
awp,49.71875
awp,51.515625
m4a1,53.6875
awp,54.3125
m4a1,83.953125
ak-47,38.734375
ak-47,39.34375
awp,42.9375
ak-47,43.75
ak-47,45.984375
m4a1,29.875
ak-47,35.6875
ak-47,39.90625
ak-47,41.140625
ak-47,61.59375
m4a1,61.609375
ak-47,63.765625
awp,69.984375
ak-47,96.953125
ak-47,32.15625
awp,34.234375
m4a1,51.25
ak-47,57.09375
m4a1,68.703125
ak-47,91.703125
awp,9.796875
ak-47,28.359375
ak-47,28.359375
ak-47,29.34375
ak-47,34.28125
awp,79.125
awp,84.53125
mp9,82.09375
mp9,76.265625
mp9,77.609375
ak-47,77.984375
mp9,80.125
mp9,81.75
m4a1,57.53125
m4a1,59.703125
ak-47,61.546875
m4a1,18.5625
m4a1,20.828125
ak-47,20.9375
m4a1,23.375
m4a1,34.84375
m4a1,37.21875
ak-47,38.546875
ak-47,88.90625
ak-47,89.984375
ak-47,99.671875
ak-47,110.53125
awp,12.984375
m4a1,29.953125
awp,31.984375
ak-47,52.859375
m4a1,58.015625
m4a1,66.09375
ak-47,86.046875
