"match_checksum","number","winner_side"
e2299fe3e7eab280,1,2
e2299fe3e7eab280,2,2
e2299fe3e7eab280,3,2
e2299fe3e7eab280,4,2
e2299fe3e7eab280,5,3
e2299fe3e7eab280,6,3
e2299fe3e7eab280,7,3
e2299fe3e7eab280,8,2
e2299fe3e7eab280,9,2
e2299fe3e7eab280,10,2
e2299fe3e7eab280,11,2
e2299fe3e7eab280,12,3
"30a44e42b240657d",1,2
"30a44e42b240657d",2,2
"30a44e42b240657d",3,2
"30a44e42b240657d",4,3
"30a44e42b240657d",5,2
"30a44e42b240657d",6,3
"30a44e42b240657d",7,2
"30a44e42b240657d",8,2
"30a44e42b240657d",9,2
"30a44e42b240657d",10,3
"30a44e42b240657d",11,2
"30a44e42b240657d",12,2
"7b0c9960c780b1d3",1,3
"7b0c9960c780b1d3",2,3
"7b0c9960c780b1d3",3,3
"7b0c9960c780b1d3",4,3
"7b0c9960c780b1d3",5,3
"7b0c9960c780b1d3",6,3
"7b0c9960c780b1d3",7,3
"7b0c9960c780b1d3",8,3
"7b0c9960c780b1d3",9,3
"7b0c9960c780b1d3",10,3
"7b0c9960c780b1d3",11,3
"7b0c9960c780b1d3",12,3
"10a3d1f30f1855c9",1,3
"10a3d1f30f1855c9",2,3
"10a3d1f30f1855c9",3,2
"10a3d1f30f1855c9",4,3
"10a3d1f30f1855c9",5,3
"10a3d1f30f1855c9",6,2
"10a3d1f30f1855c9",7,2
"10a3d1f30f1855c9",8,2
"10a3d1f30f1855c9",9,2
"10a3d1f30f1855c9",10,2
"10a3d1f30f1855c9",11,2
"10a3d1f30f1855c9",12,2
"57a72b6045a04f6f",1,3
"57a72b6045a04f6f",2,3
"57a72b6045a04f6f",3,3
"57a72b6045a04f6f",4,3
"57a72b6045a04f6f",5,3
"57a72b6045a04f6f",6,3
"57a72b6045a04f6f",7,2
"57a72b6045a04f6f",8,2
"57a72b6045a04f6f",9,2
"57a72b6045a04f6f",10,2
"57a72b6045a04f6f",11,2
"57a72b6045a04f6f",12,2
"2ab0bdf48a15b7f8",1,2
"2ab0bdf48a15b7f8",2,2
"2ab0bdf48a15b7f8",3,2
"2ab0bdf48a15b7f8",4,2
"2ab0bdf48a15b7f8",5,2
"2ab0bdf48a15b7f8",6,2
"2ab0bdf48a15b7f8",7,3
"2ab0bdf48a15b7f8",8,2
"2ab0bdf48a15b7f8",9,2
"2ab0bdf48a15b7f8",10,3
"2ab0bdf48a15b7f8",11,2
"2ab0bdf48a15b7f8",12,3
"8b9d8c6cd7136fe",1,3
"8b9d8c6cd7136fe",2,3
"8b9d8c6cd7136fe",3,2
"8b9d8c6cd7136fe",4,3
"8b9d8c6cd7136fe",5,3
"8b9d8c6cd7136fe",6,2
"8b9d8c6cd7136fe",7,3
"8b9d8c6cd7136fe",8,2
"8b9d8c6cd7136fe",9,3
"8b9d8c6cd7136fe",10,3
"8b9d8c6cd7136fe",11,3
"8b9d8c6cd7136fe",12,2
"8ebe7370583beaf7",1,2
"8ebe7370583beaf7",2,2
"8ebe7370583beaf7",3,3
"8ebe7370583beaf7",4,3
"8ebe7370583beaf7",5,2
"8ebe7370583beaf7",6,3
"8ebe7370583beaf7",7,3
"8ebe7370583beaf7",8,3
"8ebe7370583beaf7",9,3
"8ebe7370583beaf7",10,2
"8ebe7370583beaf7",11,2
"8ebe7370583beaf7",12,2
b4afa53cf1a69b90,1,3
b4afa53cf1a69b90,2,3
b4afa53cf1a69b90,3,2
b4afa53cf1a69b90,4,2
b4afa53cf1a69b90,5,2
b4afa53cf1a69b90,6,3
b4afa53cf1a69b90,7,2
b4afa53cf1a69b90,8,3
b4afa53cf1a69b90,9,3
b4afa53cf1a69b90,10,3
b4afa53cf1a69b90,11,3
b4afa53cf1a69b90,12,3
c55d1b52275a924,1,3
c55d1b52275a924,2,3
c55d1b52275a924,3,2
c55d1b52275a924,4,3
c55d1b52275a924,5,2
c55d1b52275a924,6,2
c55d1b52275a924,7,2
c55d1b52275a924,8,3
c55d1b52275a924,9,3
c55d1b52275a924,10,3
c55d1b52275a924,11,3
c55d1b52275a924,12,2
"7a552a402f3cd259",1,2
"7a552a402f3cd259",2,2
"7a552a402f3cd259",3,2
"7a552a402f3cd259",4,2
"7a552a402f3cd259",5,3
"7a552a402f3cd259",6,2
"7a552a402f3cd259",7,3
"7a552a402f3cd259",8,2
"7a552a402f3cd259",9,2
"7a552a402f3cd259",10,2
"7a552a402f3cd259",11,2
"7a552a402f3cd259",12,2
d00a2e6a0b521107,1,2
d00a2e6a0b521107,2,2
d00a2e6a0b521107,3,2
d00a2e6a0b521107,4,2
d00a2e6a0b521107,5,2
d00a2e6a0b521107,6,2
d00a2e6a0b521107,7,3
d00a2e6a0b521107,8,3
d00a2e6a0b521107,9,3
d00a2e6a0b521107,10,3
d00a2e6a0b521107,11,3
d00a2e6a0b521107,12,2
"387230dbe6161224",1,3
"387230dbe6161224",2,3
"387230dbe6161224",3,3
"387230dbe6161224",4,3
"387230dbe6161224",5,2
"387230dbe6161224",6,3
"387230dbe6161224",7,2
"387230dbe6161224",8,2
"387230dbe6161224",9,3
"387230dbe6161224",10,2
"387230dbe6161224",11,3
"387230dbe6161224",12,3
b9b3561d5f423246,1,3
b9b3561d5f423246,2,3
b9b3561d5f423246,3,2
b9b3561d5f423246,4,3
b9b3561d5f423246,5,3
b9b3561d5f423246,6,3
b9b3561d5f423246,7,2
b9b3561d5f423246,8,2
b9b3561d5f423246,9,2
b9b3561d5f423246,10,3
b9b3561d5f423246,11,3
b9b3561d5f423246,12,3
ee5f8be378a7deef,1,3
ee5f8be378a7deef,2,3
ee5f8be378a7deef,3,3
ee5f8be378a7deef,4,3
ee5f8be378a7deef,5,2
ee5f8be378a7deef,6,2
ee5f8be378a7deef,7,2
ee5f8be378a7deef,8,3
ee5f8be378a7deef,9,3
ee5f8be378a7deef,10,2
ee5f8be378a7deef,11,2
ee5f8be378a7deef,12,2
a07bef37cb31a694,1,2
a07bef37cb31a694,2,2
a07bef37cb31a694,3,2
a07bef37cb31a694,4,2
a07bef37cb31a694,5,3
a07bef37cb31a694,6,3
a07bef37cb31a694,7,2
a07bef37cb31a694,8,2
a07bef37cb31a694,9,2
a07bef37cb31a694,10,2
a07bef37cb31a694,11,2
a07bef37cb31a694,12,3
be18716bf830f080,1,2
be18716bf830f080,2,3
be18716bf830f080,3,3
be18716bf830f080,4,3
be18716bf830f080,5,3
be18716bf830f080,6,3
be18716bf830f080,7,3
be18716bf830f080,8,3
be18716bf830f080,9,3
be18716bf830f080,10,2
be18716bf830f080,11,2
be18716bf830f080,12,3
"1787ce744c361d96",1,2
"1787ce744c361d96",2,2
"1787ce744c361d96",3,2
"1787ce744c361d96",4,3
"1787ce744c361d96",5,2
"1787ce744c361d96",6,2
"1787ce744c361d96",7,3
"1787ce744c361d96",8,3
"1787ce744c361d96",9,3
"1787ce744c361d96",10,2
"1787ce744c361d96",11,3
"1787ce744c361d96",12,3
b59f58438a50d50a,1,3
b59f58438a50d50a,3,2
b59f58438a50d50a,4,2
b59f58438a50d50a,5,2
b59f58438a50d50a,6,2
b59f58438a50d50a,7,2
b59f58438a50d50a,8,2
b59f58438a50d50a,9,2
b59f58438a50d50a,10,2
b59f58438a50d50a,11,2
b59f58438a50d50a,12,2
e5ace43e2b81803c,1,3
e5ace43e2b81803c,3,3
e5ace43e2b81803c,4,3
e5ace43e2b81803c,5,3
e5ace43e2b81803c,6,2
e5ace43e2b81803c,7,3
e5ace43e2b81803c,8,3
e5ace43e2b81803c,9,3
e5ace43e2b81803c,10,3
e5ace43e2b81803c,11,3
e5ace43e2b81803c,12,3
a983677928260a67,1,2
a983677928260a67,2,2
a983677928260a67,3,2
a983677928260a67,4,2
a983677928260a67,5,3
a983677928260a67,6,3
a983677928260a67,7,3
a983677928260a67,8,2
a983677928260a67,9,3
a983677928260a67,10,2
a983677928260a67,11,3
a983677928260a67,12,2
"3a8118441a31dfb4",1,3
"3a8118441a31dfb4",2,2
"3a8118441a31dfb4",3,2
"3a8118441a31dfb4",4,2
"3a8118441a31dfb4",5,3
"3a8118441a31dfb4",6,2
"3a8118441a31dfb4",7,3
"3a8118441a31dfb4",8,3
"3a8118441a31dfb4",9,3
"3a8118441a31dfb4",10,2
"3a8118441a31dfb4",11,3
"3a8118441a31dfb4",12,2
fc815fdab850eb8a,1,3
fc815fdab850eb8a,2,2
fc815fdab850eb8a,3,2
fc815fdab850eb8a,4,2
fc815fdab850eb8a,5,2
fc815fdab850eb8a,6,2
fc815fdab850eb8a,7,2
fc815fdab850eb8a,8,2
fc815fdab850eb8a,9,2
fc815fdab850eb8a,10,2
fc815fdab850eb8a,11,2
fc815fdab850eb8a,12,3
e7a2e289382096bd,1,3
e7a2e289382096bd,2,2
e7a2e289382096bd,3,2
e7a2e289382096bd,4,3
e7a2e289382096bd,5,2
e7a2e289382096bd,6,3
e7a2e289382096bd,7,3
e7a2e289382096bd,8,3
e7a2e289382096bd,9,3
e7a2e289382096bd,10,3
e7a2e289382096bd,11,3
e7a2e289382096bd,12,2
"9d312f7c14641658",1,2
"9d312f7c14641658",2,3
"9d312f7c14641658",3,3
"9d312f7c14641658",4,3
"9d312f7c14641658",5,3
"9d312f7c14641658",6,3
"9d312f7c14641658",7,3
"9d312f7c14641658",8,2
"9d312f7c14641658",9,2
"9d312f7c14641658",10,3
"9d312f7c14641658",11,2
"9d312f7c14641658",12,2
a89c662e78f8fec7,1,2
a89c662e78f8fec7,2,2
a89c662e78f8fec7,3,2
a89c662e78f8fec7,4,3
a89c662e78f8fec7,5,3
a89c662e78f8fec7,6,3
a89c662e78f8fec7,7,2
a89c662e78f8fec7,8,2
a89c662e78f8fec7,9,3
a89c662e78f8fec7,10,3
a89c662e78f8fec7,11,3
a89c662e78f8fec7,12,2
"36bf508e95dc5e64",1,3
"36bf508e95dc5e64",2,3
"36bf508e95dc5e64",3,3
"36bf508e95dc5e64",4,2
"36bf508e95dc5e64",5,3
"36bf508e95dc5e64",6,2
"36bf508e95dc5e64",7,2
"36bf508e95dc5e64",8,2
"36bf508e95dc5e64",9,2
"36bf508e95dc5e64",10,3
"36bf508e95dc5e64",11,3
"36bf508e95dc5e64",12,3
"1c05d3f571a5ee83",1,2
"1c05d3f571a5ee83",2,2
"1c05d3f571a5ee83",3,2
"1c05d3f571a5ee83",4,2
"1c05d3f571a5ee83",5,2
"1c05d3f571a5ee83",6,2
"1c05d3f571a5ee83",7,2
"1c05d3f571a5ee83",8,2
"1c05d3f571a5ee83",9,3
"1c05d3f571a5ee83",10,2
"1c05d3f571a5ee83",11,3
"1c05d3f571a5ee83",12,3
"9cf2b1cce364afa9",1,3
"9cf2b1cce364afa9",2,3
"9cf2b1cce364afa9",3,2
"9cf2b1cce364afa9",4,2
"9cf2b1cce364afa9",5,2
"9cf2b1cce364afa9",6,3
"9cf2b1cce364afa9",7,2
"9cf2b1cce364afa9",8,2
"9cf2b1cce364afa9",9,2
"9cf2b1cce364afa9",10,2
