"weapon_name","vitesse_tueur"
glock-18,206.81490317610206
ak-47,32.44517731924645
ak-47,18.40435372635945
ak-47,48.982785929411996
ak-47,1.6389127970242956
ak-47,19.98938678924296
ak-47,41.36078898497901
ak-47,0.0
ak-47,22.223098480746582
ak-47,3.3676480791075836
ak-47,40.526357393791436
ak-47,12.846631962665544
ak-47,67.78364161294743
ak-47,40.11379568829732
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,42.49403472377586
awp,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,30.855067416177135
ak-47,73.69589679946995
awp,0.0
ak-47,0.0
awp,0.0
ak-47,64.48192086585048
ak-47,6.727837704618624
ak-47,0.0
ak-47,18.961354764954454
ak-47,0.0
awp,0.0
ak-47,17.533957321788627
ak-47,10.954295833597019
awp,2.1249781832520074
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,32.69791748659173
ak-47,73.10397325660449
ak-47,135.05312630157113
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,80.51105614290017
ak-47,13.726956808615157
ak-47,0.0
ak-47,0.0
ak-47,54.82479232525041
ak-47,13.56168125664499
ak-47,15.711667869160804
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,6.0806101411954545
ak-47,7.800480969088124
ak-47,46.20513249595427
ak-47,24.532807861281043
ak-47,5.927922314787366
ak-47,25.08133107598949
awp,0.0
ak-47,0.0
ak-47,125.27643168487174
ak-47,24.908274607935734
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,7.682086808313806
ak-47,9.927450294000167
ak-47,0.0
ak-47,11.871815734749424
awp,13.495702971540423
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,1.3587068210566988
awp,9.095243742224229
ak-47,0.0
ak-47,70.55061329671747
ak-47,0.0
awp,0.0
ak-47,70.85701729169516
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,25.29869991749341
ak-47,10.122482432954328
ak-47,0.0
ak-47,0.0
glock-18,185.9861949756868
glock-18,76.71534511593386
glock-18,17.866984947583852
glock-18,10.046145968884037
glock-18,17.08181503220041
mac-10,99.31934975472389
mac-10,150.534734812677
mac-10,97.5570429102483
ak-47,11.744131517718499
ak-47,18.156854387181305
ak-47,0.0
ak-47,0.0
ak-47,0.7237641392725949
ak-47,27.99356118343054
ak-47,2.1410528203872037
awp,0.0
ak-47,0.0
ak-47,0.0
awp,1.2138948026072935
ak-47,0.0
ak-47,64.09973384426998
ak-47,0.0
ak-47,0.0
ak-47,5.769413558803009
ak-47,0.0
ak-47,23.647264715229667
awp,15.860577611422888
ak-47,22.32174780456593
ak-47,12.86123136327498
awp,0.0
awp,0.0
ak-47,0.0
awp,0.0
awp,0.0
ak-47,0.0
ak-47,5.835692042696221
ak-47,5.148624553696065
ak-47,75.51389749598533
awp,0.0
ak-47,0.0
ak-47,74.74971720172127
ak-47,0.0
awp,0.0
awp,9.120737286741022
ak-47,15.660555283173837
ak-47,13.605205254877413
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,40.35041282436501
ak-47,0.0
glock-18,6.437245738360856
glock-18,7.730469
glock-18,54.0039064
glock-18,239.76279029083847
glock-18,0.0
glock-18,0.0
ak-47,31.743634461651695
ak-47,14.429118576358883
ak-47,20.60985476128471
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,4.820540145353942
awp,28.49616202227942
awp,0.3906298821570106
ak-47,11.453971780770546
ak-47,1.0541954870895625
ak-47,15.661631214026846
awp,0.0
ak-47,56.38672734915071
ak-47,18.95813037564211
ak-47,8.50721457649835
ak-47,38.87697864044943
awp,13.981245951888123
ak-47,25.246889247582324
awp,33.24113855564496
awp,10.277141301443413
ak-47,0.0
ak-47,52.347656
mac-10,239.99990641274218
mac-10,238.2762958214735
mac-10,0.0
awp,0.0
ak-47,50.85389387967834
ak-47,8.406512056730842
ak-47,0.0
ak-47,0.0
ak-47,19.533187879773262
ak-47,0.0
ak-47,0.0
ak-47,70.19408115333728
awp,10.845051030335727
awp,7.219954879814208
ak-47,46.122381541943234
ak-47,39.11893492338461
glock-18,14.073547189682813
glock-18,20.599644666041886
glock-18,31.548587379947904
glock-18,0.0
ak-47,11.527872557550461
ak-47,0.0
ak-47,8.112117955902084
ak-47,0.0
ak-47,0.0
ak-47,33.28259399497251
glock-18,0.0
glock-18,0.0
glock-18,9.428040064251158
glock-18,0.0
glock-18,167.79730125737075
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,4.817420045649435
awp,0.0
awp,0.0
awp,0.0
ak-47,0.0
ak-47,34.80817102290727
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,28.906221977874935
ak-47,0.0
awp,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
awp,0.0
ak-47,14.370869396692637
ak-47,0.0
ak-47,52.47610448310431
ak-47,7.158864123795687
ak-47,0.0
ak-47,60.44258356658098
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,19.38597698530577
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,1.7269380844318074
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,9.297854719793218
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,7.696026964231609
ak-47,26.497307487067605
ak-47,0.0
ak-47,40.01131735037357
awp,0.0
ak-47,40.90268579389443
ak-47,3.655265327878128
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,60.61633455331729
awp,0.0
ak-47,65.39190933625218
glock-18,12.914147464330311
glock-18,8.693852757974682
glock-18,180.02684871919973
ak-47,0.0
ak-47,0.0
mac-10,30.26740363255907
ak-47,13.03414703453851
mac-10,57.157734475724816
mac-10,0.0
ak-47,17.81357959817695
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,8.79689306497925
ak-47,53.077327597594284
ak-47,9.958817288863623
ak-47,23.395340330495046
ak-47,12.050234583994497
ak-47,63.960237918176986
ak-47,0.0
ak-47,48.97694156046484
awp,0.0
awp,0.0
awp,0.0
ak-47,0.0
awp,10.336442377124975
awp,2.3216271864726687
ak-47,3.0335241559427213
ak-47,0.0
ak-47,7.486172952882467
ak-47,16.27132231957022
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,4.895870017726063
ak-47,15.330451943532813
ak-47,22.985579739325285
ak-47,36.374964723015005
ak-47,11.452656027233378
ak-47,30.14706582264019
ak-47,14.37178367646024
ak-47,32.93605506257483
mac-10,62.6129077802902
ak-47,20.661504000070323
ak-47,0.0
ak-47,0.0
glock-18,25.095894645336017
glock-18,57.25239116433636
glock-18,0.0
ak-47,40.63391463242828
ak-47,0.0
ak-47,17.674271776016685
ak-47,68.21504411816333
ak-47,0.0
ak-47,51.43654722353841
ak-47,0.0
awp,9.531469309669522
glock-18,220.6673615935448
ak-47,78.69718125759412
awp,0.0
ak-47,0.0
ak-47,91.27489423494605
ak-47,0.0
ak-47,23.21048026442945
awp,0.0
awp,4.280052295971394
ak-47,0.0
ak-47,10.71718478472593
awp,0.0
ak-47,17.124180911724245
ak-47,0.0
ak-47,24.492931919687788
ak-47,13.48808093715292
ak-47,20.31429805532224
ak-47,0.0
ak-47,50.408267592292724
ak-47,0.0
ak-47,53.834585438353066
ak-47,0.0
ak-47,0.0
ak-47,15.155968103048547
ak-47,79.39084992290024
awp,0.0
ak-47,73.09887419338169
awp,0.0
ak-47,32.83865257862582
awp,0.0
ak-47,70.41944642511282
ak-47,9.560617453940202
ak-47,0.0
glock-18,9.242979445359813
glock-18,189.58124584469675
glock-18,51.833667669934265
ak-47,25.61217448981402
ak-47,0.0
awp,9.1798874369716
ak-47,3.351645070661272
awp,3.89612950855859
ak-47,65.6449819528116
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,1.5907836226778298
awp,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
awp,7.254109513088495
awp,9.7183823385918
awp,0.0
ak-47,114.4024084716116
awp,0.0
awp,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
awp,0.0
awp,0.0
ak-47,0.0
glock-18,0.0
glock-18,57.349664990618116
glock-18,240.00217761781448
glock-18,175.15857909914448
ak-47,2.5366482450935135
ak-47,6.615567893589182
ak-47,0.0
ak-47,5.371832448111724
ak-47,0.0
ak-47,0.0
ak-47,6.546853692498481
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,58.90336695797689
ak-47,29.96314641899158
ak-47,0.0
ak-47,0.0
ak-47,72.99035215332775
ak-47,0.0
ak-47,31.72196729900805
ak-47,0.0
ak-47,5.7097991769085015
ak-47,23.09377675926647
ak-47,32.113461570850625
ak-47,2.86501490711113
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,5.1414797921537145
ak-47,7.444069723927094
ak-47,0.0
ak-47,0.0
ak-47,26.552314223528615
ak-47,0.0
ak-47,0.0
awp,16.326756820668642
ak-47,0.0
ak-47,0.0
awp,0.0
awp,0.0
ak-47,73.09294758203698
awp,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,11.272688543858381
ak-47,0.0
ak-47,9.57828160047349
ak-47,0.0
ak-47,0.0
ak-47,68.1773487230638
ak-47,64.78788444379956
awp,0.0
ak-47,35.24956366086324
ak-47,27.208869749457968
ak-47,81.02651053918248
glock-18,0.0
glock-18,0.40437246636362373
ak-47,6.303428410830808
ak-47,159.01432141976974
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,13.801979166273583
ak-47,2.7620837333080615
ak-47,18.35118833430822
ak-47,0.0
awp,0.0
ak-47,63.21240609933455
awp,9.491341204866044
ak-47,9.641461400863253
ak-47,0.0
awp,8.754842608834782
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,32.90494832913386
awp,11.429231611337045
awp,8.258179093743124
ak-47,79.56086475804912
awp,0.0
awp,26.327444636535542
awp,0.0
awp,0.0
ak-47,35.17529039246635
ak-47,0.0
ak-47,41.515940453967126
ak-47,0.0
awp,0.0
awp,11.500374639787568
awp,3.007926719097558
glock-18,0.0
glock-18,143.92171397885832
glock-18,0.0
glock-18,0.0
glock-18,9.335594266703112
ak-47,0.0
ak-47,0.0
ak-47,70.74974558006916
ak-47,0.0
ak-47,28.307729787768306
ak-47,17.084921166045806
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
glock-18,0.0
awp,0.0
ak-47,10.355324848679542
awp,0.0
ak-47,41.50940008708683
ak-47,0.0
ak-47,47.1348296249436
ak-47,0.0
awp,0.0
awp,3.7744720693553955
awp,3.063187970557635
ak-47,12.95660754055478
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,23.60335484563796
awp,0.0
ak-47,24.590665154191864
ak-47,0.0
ak-47,26.575035751240073
ak-47,32.12349686530445
ak-47,10.618585542566628
glock-18,0.0
glock-18,158.23319703640652
glock-18,215.7296021808078
glock-18,0.0
glock-18,9.066299270843976
mac-10,237.75506312398448
mac-10,142.40085726704956
mac-10,23.451487193562883
ak-47,55.94378949749332
ak-47,0.7352160974577474
ak-47,67.09659547994966
ak-47,31.66428899036934
ak-47,0.0
ak-47,0.0
glock-18,54.606314734437674
glock-18,10.519411879196479
glock-18,0.0
glock-18,0.0
mac-10,5.348344794697608
mac-10,40.77084476485426
mac-10,41.238158408171685
ak-47,21.454867527101374
ak-47,36.91497194117814
ak-47,41.31153173490642
ak-47,67.69015911888145
ak-47,73.09399395572024
ak-47,58.899374216685764
ak-47,12.229753111768241
ak-47,45.910676762598534
ak-47,39.85556141383916
ak-47,13.605910762415172
ak-47,8.520383619442319
ak-47,59.91220593784484
ak-47,0.0
ak-47,32.70851414081363
ak-47,23.429425692518585
ak-47,17.542264266332438
ak-47,10.424018239143674
ak-47,0.0
ak-47,0.0
ak-47,70.99887889931756
ak-47,77.2541963313308
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,48.47690092242619
ak-47,0.0
ak-47,0.0
ak-47,29.15482804021811
ak-47,34.970727090860265
ak-47,10.046671160342266
ak-47,73.09824563985786
ak-47,73.10491264169998
ak-47,10.559182633642862
ak-47,197.35339547574216
ak-47,22.575529695128417
ak-47,0.0
ak-47,47.80549674899289
ak-47,10.318183707772604
ak-47,55.83125180205241
ak-47,35.31295652900414
mac-10,30.840118072946492
ak-47,0.0
awp,0.0
ak-47,28.30466642146607
awp,1.4953132170846346
glock-18,21.24874371975833
mac-10,111.71359188659558
mac-10,103.62026746685392
awp,6.029083969860181
ak-47,10.42201827468984
glock-18,0.0
mac-10,109.36801037851083
ak-47,22.448633807073183
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,5.350431516525092
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
awp,4.80675104197513
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,45.56194808479165
ak-47,0.0
glock-18,148.6746307080262
glock-18,78.74933365648147
glock-18,88.05063775610508
glock-18,0.0
ak-47,21.015330247282435
ak-47,0.0
mac-10,104.32359883451193
ak-47,0.0
ak-47,35.09203608342595
ak-47,54.808739672721416
awp,0.0
ak-47,0.0
ak-47,71.63612128291119
ak-47,41.20284458508107
ak-47,0.0
ak-47,14.184274793515845
awp,0.0
awp,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,43.513294024956835
ak-47,10.650080129861042
ak-47,83.30618410478652
awp,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,24.464575029120553
ak-47,0.0
ak-47,44.079189624106846
ak-47,0.0
glock-18,0.0
ak-47,39.83875621297282
ak-47,0.0
ak-47,0.0
awp,26.95013117430971
ak-47,0.0
awp,0.514394899182525
awp,0.0
awp,33.97877796764923
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,12.310641528798813
ak-47,0.0
ak-47,0.0
ak-47,78.92682652636213
awp,0.0
awp,0.0
ak-47,0.0
awp,0.0
awp,0.0
awp,0.0
awp,8.519827453642709
awp,7.0646092352939105
awp,20.031757587117834
ak-47,9.311245464312496
ak-47,48.70397846901176
awp,0.0
ak-47,73.09906671847668
ak-47,0.0
ak-47,16.059701080649198
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,19.594119161668893
ak-47,40.62439975290933
awp,0.0
awp,0.0
glock-18,68.70978127714967
glock-18,31.81003259709309
glock-18,93.49872669472124
glock-18,38.749866858528044
ak-47,8.389981562095652
ak-47,0.0
ak-47,0.0
ak-47,68.45841482411397
ak-47,0.0
ak-47,10.078491397797043
ak-47,0.0
ak-47,0.0
awp,2.6250116242302624
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
awp,0.0
awp,9.62451804799856
ak-47,9.616247677880597
ak-47,0.0
ak-47,10.643976755328293
ak-47,39.34785793429783
glock-18,159.7828505453505
glock-18,94.58912946870512
glock-18,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,38.15849351154655
ak-47,0.0
awp,0.0
ak-47,0.0
awp,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,6.569773196653672
ak-47,0.0
awp,0.0
ak-47,34.790223688458354
ak-47,0.0
ak-47,26.425669289581748
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
awp,0.0
awp,0.0
awp,6.433128844161758
ak-47,8.145711862257343
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,73.09846106290901
glock-18,105.53395319424307
glock-18,133.2323877314559
glock-18,26.25599806383069
glock-18,81.60008960304876
ak-47,10.319889373422953
ak-47,24.811710908874986
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,150.87374732986342
ak-47,61.28940740374392
ak-47,0.0
ak-47,13.95129833885879
ak-47,23.71423361560702
glock-18,37.578855892060496
glock-18,69.09357706522167
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,9.33522250122947
awp,18.52286307236171
ak-47,0.0
ak-47,24.26396634117079
ak-47,29.45662240672384
ak-47,0.0
ak-47,0.0
awp,12.639603825099464
ak-47,0.0
awp,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
awp,0.0
awp,1.677123770216438
ak-47,24.773808603555207
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,3.6506302263862604
ak-47,0.0
ak-47,0.0
ak-47,7.267846614917585
ak-47,0.0
awp,0.8782225478237279
awp,4.6979051182415335
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,14.557506957054425
ak-47,0.0
ak-47,0.0
awp,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,7.967044441689088
awp,0.0
ak-47,57.06862885835318
ak-47,30.89452949589071
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,61.76349403898954
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,15.224896325334633
ak-47,0.0
ak-47,42.41937722849223
ak-47,0.0
ak-47,28.9863978049359
ak-47,18.049373357451497
ak-47,37.21115647242941
ak-47,0.0
ak-47,67.68015611016777
ak-47,0.0
ak-47,19.9502126887942
ak-47,0.0
awp,13.134126192037064
ak-47,0.0
ak-47,62.31323282021914
ak-47,77.88832976344943
ak-47,73.09774545789591
ak-47,73.10901434512454
ak-47,6.661213754955549
glock-18,0.0
ak-47,14.86644295123958
ak-47,1.2599705818740372
ak-47,0.0
ak-47,0.0
ak-47,55.033355031431846
ak-47,0.0
ak-47,21.15305321120925
ak-47,15.037697405415365
ak-47,0.0
awp,0.0
ak-47,55.616597518011375
ak-47,0.0
ak-47,27.193225670292755
ak-47,0.0
ak-47,0.0
awp,10.5247181092558
ak-47,0.0
ak-47,0.0
awp,7.930861954098117
glock-18,0.0
glock-18,0.0
glock-18,0.0
glock-18,10.452295837817163
mac-10,16.90159782577402
ak-47,81.47819217914233
ak-47,0.0
awp,0.2752179179196006
awp,0.0
awp,5.128838895692573
ak-47,78.71454385248191
ak-47,56.48014151088721
ak-47,16.153341100042926
ak-47,0.0
ak-47,15.679547008829688
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,3.7903446855082983
glock-18,27.678583849363573
glock-18,26.664460479596602
glock-18,0.0
glock-18,132.10263489300584
mac-10,0.0
ak-47,0.0
mac-10,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,34.558279768156574
ak-47,0.0
ak-47,12.504679043480843
ak-47,68.91550075358364
ak-47,0.0
ak-47,22.00047451989584
ak-47,16.097970203714752
ak-47,75.2239139666367
ak-47,20.902197089995706
ak-47,11.379072760882629
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,115.47427414676257
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
awp,0.0
ak-47,63.10529485788483
ak-47,0.0
ak-47,0.34454765975696305
ak-47,0.0
ak-47,16.945844423042512
ak-47,34.825710016093
awp,0.0
ak-47,9.301551633623768
glock-18,36.631595532361416
glock-18,145.18291012573803
glock-18,41.6290191735355
glock-18,69.85239839532953
ak-47,17.78939491574983
ak-47,15.877212393995773
ak-47,9.215327311602177
ak-47,20.032122874410216
ak-47,61.07427471906614
ak-47,0.0
ak-47,0.0
awp,0.0
glock-18,201.92509617493943
glock-18,107.55593452017673
glock-18,0.0
glock-18,82.08344481529777
mac-10,0.0
mac-10,0.0
mac-10,0.0
ak-47,29.970186432056394
ak-47,2.753850381702862
ak-47,38.546890007986924
ak-47,73.0399499206973
awp,0.0
awp,9.528112602932964
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
awp,0.0
awp,0.0
ak-47,18.35607801704844
ak-47,62.360838410484384
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,73.10293152033773
ak-47,0.0
ak-47,11.466435436402545
awp,6.736029055491151
ak-47,0.0
ak-47,42.117899118721546
ak-47,45.143827149696556
awp,10.516154143029713
awp,10.5566228015344
ak-47,54.12633661837448
ak-47,10.305764945188153
ak-47,0.0
ak-47,0.0
ak-47,12.613086564346094
ak-47,22.23328879418133
awp,0.0
awp,0.0
awp,0.0
glock-18,28.764382291122544
glock-18,0.0
glock-18,0.0
glock-18,0.0
glock-18,0.0
ak-47,0.0
ak-47,24.46756522147612
ak-47,11.407689078739304
ak-47,4.820338296527433
glock-18,98.54327024392477
ak-47,0.0
ak-47,0.0
ak-47,34.62893265885908
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,95.90569667801242
ak-47,33.89112023852946
awp,0.0
awp,0.0
ak-47,0.0
awp,0.0
awp,0.0
glock-18,0.0
glock-18,0.0
glock-18,0.0
glock-18,0.0
glock-18,0.0
ak-47,0.0
ak-47,10.10748479121725
awp,0.0
awp,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
awp,0.0
ak-47,39.785798074216686
awp,0.0
ak-47,0.0
ak-47,41.81798390887443
ak-47,30.609490298847266
awp,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
glock-18,0.0
glock-18,87.16081019462922
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,53.623019351998494
ak-47,0.0
awp,22.058935973881535
ak-47,0.0
awp,0.0
ak-47,0.0
awp,15.410440923384542
awp,0.0
awp,10.219127966239634
ak-47,0.0
ak-47,0.0
ak-47,14.3081436660375
awp,0.0
glock-18,73.73717269403315
glock-18,104.98976351782612
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
ak-47,0.0
awp,0.0
ak-47,0.0
ak-47,0.0
ak-47,25.733515313411903
ak-47,0.0
ak-47,0.0
ak-47,6.929809022592181
ak-47,20.786649721240433
ak-47,0.0
ak-47,23.501762063842552
ak-47,45.74923688741977
awp,0.0
awp,9.859282571563107
awp,10.635388580611664
ak-47,0.0
ak-47,73.093560688317
ak-47,3.166916535029618
awp,0.0
awp,0.38153476557713584
awp,0.0
awp,12.5222976215102
awp,0.0
awp,8.172819638279313
awp,29.23584294108152
ak-47,47.90072793108811
ak-47,44.83627169787454
glock-18,7.130262160711133
glock-18,31.48271164961017
glock-18,81.44992756422069
glock-18,128.971612216846
ak-47,40.7937303802906
ak-47,7.32357259469755
ak-47,0.0
ak-47,40.57943556910166
ak-47,0.0
ak-47,33.571801205398636
awp,0.0
ak-47,0.0
glock-18,152.47789916855317
glock-18,72.27222668073107
glock-18,137.29768061775619
ak-47,35.31906963390581
glock-18,0.0
ak-47,1.8586622456772504
ak-47,106.460938
ak-47,27.364992811045724
awp,9.145647826587735
ak-47,36.87843380172169
ak-47,0.0
awp,8.632653420479997
ak-47,73.09780361683563
ak-47,12.21859459204241
ak-47,0.0
ak-47,18.49630762350186
awp,20.84741632405973
ak-47,0.0
ak-47,0.0
ak-47,3.507892737807272
mac-10,58.870419836465246
ak-47,0.0
ak-47,0.0
ak-47,6.679245317162412
ak-47,21.81374286911719
ak-47,0.0
ak-47,8.836528080395887
ak-47,28.47597843193891
ak-47,9.152809720585806
awp,0.0
ak-47,0.0
